Budget,Clicks,Conversions,Revenue_Generated,ROI,Subscription_Tier,Subscription_Length,Discount_Level,Units_Sold,Bundle_Price,Customer_Satisfaction_Post_Refund,Common_Keywords,Budget_Category,ROI_Category,Subscription_Length_Category,Discount_Category,Satisfaction_Category
47081.65,1816,129,54481.48,1.14,Basic,21,53,176,392.36,4,Stylish,Very High,Poor,Long,High,High
8809.37,4867,385,8356.41,2.8,Premium,10,63,72,445.15,3,Stylish,Low,Good,Medium,Very High,Medium
37643.5,3700,521,93046.27,2.71,Premium,28,68,197,201.44,1,Affordable,High,Average,Very Long,Very High,Low
6806.29,4039,352,45830.03,4.2,Basic,32,21,41,119.94,4,Durable,Low,Excellent,Very Long,Low,High
39917.29,1808,42,94641.55,3.68,Standard,28,54,51,443.08,2,Durable,Very High,Good,Very Long,High,Low
29926.86,1946,349,24857.92,4.03,Standard,2,18,155,343.23,3,Affordable,High,Excellent,Short,Low,Medium
18360.77,3224,138,10462.13,1.19,Standard,17,49,12,472.55,2,Innovative,Medium,Poor,Medium,High,Low
35293.04,431,709,51133.0,2.11,Standard,6,65,110,75.39,3,Innovative,High,Average,Short,Very High,Medium
25309.05,2240,251,28767.29,1.96,Premium,12,48,75,73.51,2,Affordable,High,Average,Medium,High,Low
16560.12,2203,62,88344.56,4.15,Basic,6,53,113,290.98,3,Stylish,Medium,Excellent,Short,High,Medium
38686.06,3098,115,59161.53,2.53,Standard,21,63,194,134.18,3,Innovative,Very High,Average,Long,Very High,Medium
10936.71,2719,29,5333.62,2.91,Premium,19,36,21,495.73,4,Affordable,Low,Good,Long,Medium,High
27815.5,2547,441,11138.3,3.15,Basic,33,33,124,51.09,2,Affordable,High,Good,Very Long,Medium,Low
26529.02,1081,839,49134.7,3.17,Standard,2,47,113,347.8,2,Affordable,High,Good,Short,High,Low
12292.15,1362,327,22019.92,0.88,Basic,23,45,49,401.31,2,Durable,Low,Poor,Long,High,Low
30877.02,1077,310,24046.81,4.93,Basic,8,69,18,248.13,1,Innovative,High,Excellent,Short,Very High,Low
34299.57,3940,951,23264.81,2.18,Premium,2,38,102,452.81,2,Innovative,High,Average,Short,Medium,Low
11504.53,3042,229,67001.35,3.77,Standard,30,67,144,149.36,2,Innovative,Low,Good,Very Long,Very High,Low
8640.53,4972,138,58350.61,4.46,Standard,33,21,26,498.37,4,Innovative,Low,Excellent,Very Long,Low,High
42067.16,3485,305,79350.86,0.62,Basic,25,28,35,143.15,1,Affordable,Very High,Poor,Long,Medium,Low
17588.71,509,574,69641.84,0.72,Standard,33,67,147,327.11,3,Innovative,Medium,Poor,Very Long,Very High,Medium
29985.11,1630,645,88889.73,1.54,Premium,12,57,150,472.39,2,Innovative,High,Poor,Medium,Very High,Low
16440.08,4263,47,26375.47,3.68,Basic,13,17,158,270.93,2,Durable,Medium,Good,Medium,Low,Low
42205.14,409,315,8688.28,4.23,Standard,15,51,31,261.89,1,Stylish,Very High,Excellent,Medium,High,Low
16819.62,1838,222,72477.25,4.65,Basic,35,15,21,439.93,2,Stylish,Medium,Excellent,Very Long,Low,Low
9759.98,4385,782,66455.8,4.58,Premium,1,44,86,441.02,1,Innovative,Low,Excellent,Short,High,Low
47316.05,4457,596,92430.72,0.65,Basic,9,29,126,401.49,2,Durable,Very High,Poor,Short,Medium,Low
48434.35,2835,362,84952.12,2.65,Premium,10,45,184,342.05,3,Innovative,Very High,Average,Medium,High,Medium
25224.27,534,982,27754.01,3.0,Basic,27,18,124,109.24,2,Innovative,High,Good,Long,Low,Low
39531.48,4980,851,28155.05,4.44,Basic,23,47,76,495.14,4,Innovative,Very High,Excellent,Long,High,High
1191.51,2103,815,14952.16,1.22,Premium,21,51,121,244.67,2,Durable,Low,Poor,Long,High,Low
47675.89,773,545,88710.22,2.56,Premium,11,34,39,138.15,4,Stylish,Very High,Average,Medium,Medium,High
18025.94,3372,778,93803.92,2.95,Standard,34,11,182,379.7,4,Innovative,Medium,Good,Very Long,Low,High
47520.11,4909,13,9800.38,4.28,Basic,33,64,80,179.22,4,Durable,Very High,Excellent,Very Long,Very High,High
5436.91,2635,86,87725.67,2.02,Premium,24,68,111,242.47,3,Affordable,Low,Average,Long,Very High,Medium
11004.34,1092,800,50999.43,3.16,Basic,33,47,199,175.07,4,Durable,Low,Good,Very Long,High,High
15084.62,3374,228,41807.56,0.83,Basic,34,56,34,404.34,1,Stylish,Medium,Poor,Very Long,Very High,Low
24173.01,1270,649,25180.95,0.84,Standard,23,13,186,432.7,1,Stylish,Medium,Poor,Long,Low,Low
899.85,4636,235,63876.35,4.98,Premium,17,56,46,306.3,1,Stylish,Low,Excellent,Medium,Very High,Low
13560.24,2662,659,7208.47,0.88,Basic,26,14,133,226.73,1,Innovative,Medium,Poor,Long,Low,Low
34502.68,2734,78,16089.53,2.63,Standard,30,39,75,172.92,3,Stylish,High,Average,Very Long,Medium,Medium
39904.7,3491,884,16433.15,1.67,Basic,12,43,50,401.48,4,Durable,Very High,Average,Medium,High,High
41432.19,4557,557,64342.81,2.09,Basic,3,11,81,164.75,2,Innovative,Very High,Average,Short,Low,Low
3103.38,4054,263,98709.9,1.72,Premium,10,67,104,187.71,3,Affordable,Low,Average,Medium,Very High,Medium
25064.44,4958,339,25221.16,0.63,Standard,20,20,89,357.68,1,Innovative,High,Poor,Long,Low,Low
42025.3,4936,615,37248.89,4.18,Premium,29,41,150,330.48,2,Durable,Very High,Excellent,Very Long,High,Low
33081.13,2100,498,23273.84,4.28,Basic,10,23,31,130.45,4,Durable,High,Excellent,Medium,Low,High
4616.73,943,918,78426.52,0.83,Basic,28,31,174,498.89,1,Affordable,Low,Poor,Very Long,Medium,Low
47731.63,4567,159,8505.21,2.5,Standard,15,16,152,345.31,4,Durable,Very High,Average,Medium,Low,High
25644.96,4106,141,91170.22,4.73,Standard,24,25,119,385.6,1,Affordable,High,Excellent,Long,Medium,Low
34512.33,3615,115,10146.22,2.59,Premium,3,65,12,149.92,2,Durable,High,Average,Short,Very High,Low
26203.46,180,117,15998.54,4.99,Standard,29,55,7,491.8,2,Stylish,High,Excellent,Very Long,Very High,Low
17450.37,3129,292,88925.82,3.11,Premium,28,29,112,307.58,3,Stylish,Medium,Good,Very Long,Medium,Medium
41719.78,4003,261,35090.34,1.36,Premium,33,13,145,321.45,3,Stylish,Very High,Poor,Very Long,Low,Medium
13125.65,1633,14,84334.85,3.79,Basic,13,32,91,137.93,4,Innovative,Medium,Good,Medium,Medium,High
32654.36,4911,250,90929.37,2.26,Standard,13,36,13,453.38,2,Innovative,High,Average,Medium,Medium,Low
33458.8,1692,994,57680.38,4.09,Basic,7,20,144,189.66,1,Stylish,High,Excellent,Short,Low,Low
14625.78,668,862,29351.53,1.1,Standard,22,11,59,251.81,2,Innovative,Medium,Poor,Long,Low,Low
14409.41,2360,687,95547.2,4.53,Standard,27,32,139,58.73,4,Affordable,Medium,Excellent,Long,Medium,High
35040.17,570,182,31151.61,4.93,Standard,4,34,122,159.12,4,Stylish,High,Excellent,Short,Medium,High
44031.41,803,995,87098.84,3.34,Basic,3,11,92,226.8,3,Durable,Very High,Good,Short,Low,Medium
35825.13,2907,858,51372.49,3.66,Standard,28,18,14,124.58,3,Stylish,High,Good,Very Long,Low,Medium
5743.66,1245,375,60351.88,3.81,Standard,29,10,61,490.35,2,Durable,Low,Good,Very Long,Low,Low
36750.76,4034,810,98711.24,4.34,Basic,14,46,57,219.83,2,Durable,High,Excellent,Medium,High,Low
47951.99,833,159,5676.62,3.93,Premium,11,29,21,140.51,1,Stylish,Very High,Excellent,Medium,Medium,Low
19707.33,3469,433,59347.53,4.53,Basic,22,49,48,294.06,3,Innovative,Medium,Excellent,Long,High,Medium
24666.26,4097,372,66489.51,3.37,Basic,9,68,137,215.33,3,Innovative,Medium,Good,Short,Very High,Medium
30766.7,2449,228,95210.21,0.64,Basic,3,45,112,215.85,1,Affordable,High,Poor,Short,High,Low
32103.4,2952,195,5528.63,4.3,Standard,30,40,158,462.72,3,Durable,High,Excellent,Very Long,High,Medium
44792.05,683,26,83164.88,0.53,Premium,2,53,98,387.5,4,Innovative,Very High,Poor,Short,High,High
4073.65,1671,628,88605.11,2.71,Basic,5,49,126,254.97,3,Affordable,Low,Average,Short,High,Medium
49366.97,3051,738,95295.4,3.16,Standard,26,51,121,131.6,4,Innovative,Very High,Good,Long,High,High
45303.17,2850,444,81839.45,4.26,Basic,14,24,46,378.24,1,Innovative,Very High,Excellent,Medium,Low,Low
23795.37,3838,654,60718.24,2.74,Premium,11,25,143,60.59,3,Innovative,Medium,Average,Medium,Medium,Medium
12100.49,2410,207,18666.12,3.24,Premium,7,40,135,188.12,4,Innovative,Low,Good,Short,High,High
47560.47,3165,472,18015.62,3.97,Premium,12,61,166,77.08,4,Innovative,Very High,Excellent,Medium,Very High,High
30242.98,1891,4,60011.28,3.29,Standard,35,47,79,93.67,1,Innovative,High,Good,Very Long,High,Low
30358.46,3935,315,64180.87,1.05,Basic,8,26,112,211.76,1,Stylish,High,Poor,Short,Medium,Low
47677.75,1817,87,90909.69,0.56,Basic,30,38,177,443.92,3,Stylish,Very High,Poor,Very Long,Medium,Medium
3485.88,4523,828,74681.29,3.37,Standard,13,27,181,125.93,2,Innovative,Low,Good,Medium,Medium,Low
5163.39,1262,567,26537.68,4.25,Basic,19,61,99,161.45,3,Innovative,Low,Excellent,Long,Very High,Medium
32952.48,4380,442,64670.43,0.66,Standard,14,24,131,188.41,2,Durable,High,Poor,Medium,Low,Low
13378.21,3263,583,77000.33,3.28,Standard,24,19,99,338.3,4,Durable,Medium,Good,Long,Low,High
8170.35,1590,625,11742.17,2.49,Premium,19,34,84,437.61,3,Affordable,Low,Average,Long,Medium,Medium
2198.3,3128,54,12455.44,1.43,Basic,23,15,74,474.23,4,Stylish,Low,Poor,Long,Low,High
15942.44,2249,828,95996.74,4.01,Premium,26,31,140,106.8,4,Affordable,Medium,Excellent,Long,Medium,High
16582.3,2725,182,14191.29,4.48,Standard,24,46,55,99.26,4,Durable,Medium,Excellent,Long,High,High
32544.97,332,309,6700.87,4.78,Standard,6,11,39,230.51,1,Stylish,High,Excellent,Short,Low,Low
27502.66,59,937,14250.98,2.5,Premium,28,22,199,79.25,1,Affordable,High,Average,Very Long,Low,Low
45484.9,1407,355,9660.09,4.93,Premium,26,40,60,461.46,2,Stylish,Very High,Excellent,Long,High,Low
18705.17,4763,845,79718.02,2.99,Standard,30,45,52,322.53,1,Stylish,Medium,Good,Very Long,High,Low
42309.18,4834,479,69833.46,2.24,Standard,16,56,157,250.55,3,Durable,Very High,Average,Medium,Very High,Medium
7626.44,2904,348,47479.32,3.43,Premium,7,41,15,273.77,4,Affordable,Low,Good,Short,High,High
21705.56,1854,272,67620.62,1.98,Standard,8,19,68,375.82,3,Affordable,Medium,Average,Short,Low,Medium
24013.73,509,141,24573.1,2.58,Premium,17,18,24,463.89,4,Innovative,Medium,Average,Medium,Low,High
35926.59,2394,114,7451.9,3.33,Basic,28,63,138,126.44,4,Durable,High,Good,Very Long,Very High,High
34986.45,25,528,98731.51,2.29,Standard,35,32,128,86.74,1,Affordable,High,Average,Very Long,Medium,Low
26160.48,4958,842,19764.4,2.0,Basic,29,15,196,230.97,2,Durable,High,Average,Very Long,Low,Low
48037.54,3110,35,14176.92,3.76,Basic,16,46,114,95.62,4,Durable,Very High,Good,Medium,High,High
5171.29,3852,363,58656.53,1.47,Premium,16,24,163,387.53,1,Stylish,Low,Poor,Medium,Low,Low
10624.88,1633,835,48414.45,2.38,Premium,29,43,5,469.43,2,Innovative,Low,Average,Very Long,High,Low
7928.76,4364,440,99239.98,4.65,Basic,10,58,112,188.65,4,Innovative,Low,Excellent,Medium,Very High,High
12604.11,4892,25,68403.51,3.46,Basic,26,35,182,323.83,3,Affordable,Low,Good,Long,Medium,Medium
14218.46,3891,678,75402.56,3.03,Standard,30,43,33,273.54,1,Durable,Medium,Good,Very Long,High,Low
44595.46,4195,457,92494.33,2.16,Basic,3,66,149,336.32,4,Affordable,Very High,Average,Short,Very High,High
39923.5,164,451,17929.16,4.78,Basic,33,23,168,207.54,2,Innovative,Very High,Excellent,Very Long,Low,Low
15308.75,1734,846,75254.67,2.1,Basic,21,11,7,397.98,1,Stylish,Medium,Average,Long,Low,Low
1163.97,2117,820,73153.86,0.62,Premium,35,19,158,96.79,1,Affordable,Low,Poor,Very Long,Low,Low
24222.92,1188,867,98204.56,0.56,Basic,8,44,194,119.25,3,Stylish,Medium,Poor,Short,High,Medium
39727.48,4380,668,19280.32,3.26,Premium,17,30,73,175.58,2,Durable,Very High,Good,Medium,Medium,Low
44957.5,2401,886,69665.64,3.45,Premium,24,45,159,291.38,4,Stylish,Very High,Good,Long,High,High
8214.53,4447,200,38546.75,0.76,Premium,26,17,103,160.17,3,Affordable,Low,Poor,Long,Low,Medium
10568.3,4294,877,16066.15,2.54,Premium,13,58,120,334.35,4,Durable,Low,Average,Medium,Very High,High
39925.73,1308,667,39628.31,4.15,Standard,31,50,73,369.21,3,Affordable,Very High,Excellent,Very Long,High,Medium
16623.51,3574,130,97788.85,3.2,Standard,7,44,162,280.8,3,Innovative,Medium,Good,Short,High,Medium
2710.62,2482,682,86758.22,3.26,Standard,22,18,110,237.13,4,Innovative,Low,Good,Long,Low,High
42287.77,143,104,7502.85,2.55,Premium,2,25,68,423.89,3,Stylish,Very High,Average,Short,Medium,Medium
43590.12,3557,161,31944.63,4.5,Standard,17,18,120,286.16,3,Stylish,Very High,Excellent,Medium,Low,Medium
8975.24,302,361,76202.39,3.72,Basic,3,44,82,162.69,4,Innovative,Low,Good,Short,High,High
7059.12,3657,889,33378.9,4.06,Standard,19,33,195,476.55,4,Affordable,Low,Excellent,Long,Medium,High
28983.34,3136,1,21338.77,3.64,Standard,11,28,104,387.06,1,Stylish,High,Good,Medium,Medium,Low
8811.78,4331,670,3641.06,4.0,Standard,4,32,188,231.76,3,Stylish,Low,Excellent,Short,Medium,Medium
45046.99,3906,19,23419.38,1.68,Standard,8,40,121,477.29,1,Durable,Very High,Average,Short,High,Low
39132.89,2088,750,49738.68,3.97,Basic,26,10,75,455.81,2,Stylish,Very High,Excellent,Long,Low,Low
22847.93,3038,346,34735.24,4.22,Basic,3,15,151,207.44,3,Affordable,Medium,Excellent,Short,Low,Medium
32937.85,4823,622,44931.85,0.87,Standard,23,45,22,83.48,2,Durable,High,Poor,Long,High,Low
45415.58,1489,716,81493.11,2.47,Standard,21,41,174,418.93,1,Innovative,Very High,Average,Long,High,Low
23682.97,1050,737,67713.87,2.14,Basic,16,21,175,85.69,3,Affordable,Medium,Average,Medium,Low,Medium
24943.59,452,513,91884.03,3.19,Basic,29,25,10,93.82,2,Affordable,Medium,Good,Very Long,Medium,Low
37262.09,2369,401,4078.83,4.78,Premium,27,39,128,419.12,2,Affordable,High,Excellent,Long,Medium,Low
46357.79,295,395,82619.43,4.51,Standard,16,17,22,479.93,2,Innovative,Very High,Excellent,Medium,Low,Low
23461.63,1722,64,75380.98,4.04,Premium,6,67,177,139.77,1,Stylish,Medium,Excellent,Short,Very High,Low
10110.02,613,924,15327.08,4.73,Standard,6,12,62,487.21,1,Affordable,Low,Excellent,Short,Low,Low
46878.52,3604,72,51809.46,0.77,Standard,23,15,137,459.78,4,Affordable,Very High,Poor,Long,Low,High
13648.25,4057,910,72100.91,4.58,Basic,19,26,120,247.96,3,Stylish,Medium,Excellent,Long,Medium,Medium
34592.93,2359,977,62603.21,1.21,Premium,12,37,95,249.21,3,Durable,High,Poor,Medium,Medium,Medium
42313.47,4128,282,7572.5,2.45,Premium,7,25,3,405.31,1,Stylish,Very High,Average,Short,Medium,Low
2571.24,4829,432,23721.07,3.33,Standard,16,21,150,350.61,2,Innovative,Low,Good,Medium,Low,Low
12087.24,2814,517,44677.34,0.58,Premium,32,56,16,61.36,4,Stylish,Low,Poor,Very Long,Very High,High
21254.42,403,337,90527.35,0.7,Basic,32,63,131,404.58,2,Affordable,Medium,Poor,Very Long,Very High,Low
7459.82,4698,783,12843.8,2.46,Standard,7,13,115,308.26,1,Stylish,Low,Average,Short,Low,Low
17311.6,4098,9,29963.88,4.89,Premium,15,64,29,129.09,3,Innovative,Medium,Excellent,Medium,Very High,Medium
34064.21,1945,817,14148.88,2.11,Standard,1,12,186,438.17,4,Affordable,High,Average,Short,Low,High
3978.28,4103,899,14944.07,1.3,Premium,32,24,79,97.08,2,Affordable,Low,Poor,Very Long,Low,Low
28281.97,4899,1,68714.53,4.96,Premium,7,51,22,421.31,1,Affordable,High,Excellent,Short,High,Low
32674.91,2277,119,72403.07,0.66,Premium,18,64,107,174.45,2,Stylish,High,Poor,Medium,Very High,Low
26286.4,4346,482,4533.44,2.93,Basic,6,11,160,286.4,4,Stylish,High,Good,Short,Low,High
1426.22,4173,819,32362.02,1.02,Premium,5,57,13,161.68,1,Stylish,Low,Poor,Short,Very High,Low
4147.89,1902,285,96941.81,2.49,Basic,21,40,147,438.97,2,Affordable,Low,Average,Long,High,Low
48957.54,2831,757,47587.8,4.86,Premium,10,52,24,149.17,1,Durable,Very High,Excellent,Medium,High,Low
36552.79,2904,344,20442.26,2.5,Premium,26,27,197,206.97,4,Affordable,High,Average,Long,Medium,High
45336.29,2117,510,79756.42,4.51,Premium,25,55,127,432.23,3,Affordable,Very High,Excellent,Long,Very High,Medium
29035.81,3711,395,68284.84,4.64,Basic,9,63,171,400.13,2,Durable,High,Excellent,Short,Very High,Low
19323.36,1201,61,99096.85,1.62,Premium,18,24,160,484.87,3,Affordable,Medium,Poor,Medium,Low,Medium
20856.48,1029,996,41082.6,3.9,Standard,25,43,125,222.57,4,Stylish,Medium,Excellent,Long,High,High
40769.5,3208,94,15676.98,3.47,Premium,16,51,33,259.31,4,Durable,Very High,Good,Medium,High,High
26164.5,2499,486,32900.01,2.67,Standard,35,20,44,136.22,4,Affordable,High,Average,Very Long,Low,High
32047.33,4487,836,46935.58,1.0,Basic,8,30,110,58.9,3,Stylish,High,Poor,Short,Medium,Medium
6719.49,3451,470,38328.89,1.49,Basic,19,49,180,75.88,3,Affordable,Low,Poor,Long,High,Medium
17614.28,4957,432,49821.82,4.93,Premium,30,55,23,497.37,4,Durable,Medium,Excellent,Very Long,Very High,High
39432.06,2458,945,47136.19,1.16,Basic,14,24,49,306.06,1,Durable,Very High,Poor,Medium,Low,Low
47343.15,3184,142,50547.74,4.64,Basic,25,45,79,130.4,4,Innovative,Very High,Excellent,Long,High,High
21915.7,4764,688,9530.52,4.45,Premium,8,31,10,190.85,1,Durable,Medium,Excellent,Short,Medium,Low
47534.75,2352,218,96302.45,4.53,Standard,4,15,163,89.72,3,Durable,Very High,Excellent,Short,Low,Medium
48117.67,557,836,89540.89,3.1,Basic,3,28,56,221.52,4,Stylish,Very High,Good,Short,Medium,High
44095.08,860,342,99892.02,2.29,Standard,25,66,81,329.13,3,Affordable,Very High,Average,Long,Very High,Medium
29936.03,312,528,25617.94,4.25,Basic,30,32,74,51.81,2,Innovative,High,Excellent,Very Long,Medium,Low
22412.72,4745,693,94465.85,1.82,Standard,30,60,169,398.6,4,Affordable,Medium,Average,Very Long,Very High,High
21215.49,189,1,11631.03,2.06,Standard,20,21,55,205.79,2,Innovative,Medium,Average,Long,Low,Low
33369.1,4636,424,46578.99,3.83,Standard,24,30,52,226.84,4,Affordable,High,Good,Long,Medium,High
30232.5,1807,809,10776.63,1.89,Basic,12,24,130,274.1,3,Durable,High,Average,Medium,Low,Medium
46725.59,2614,238,81204.03,0.76,Premium,12,16,135,127.89,2,Affordable,Very High,Poor,Medium,Low,Low
7701.41,4618,133,6543.76,3.99,Standard,9,61,36,308.67,4,Durable,Low,Excellent,Short,Very High,High
34956.62,3522,850,88575.31,4.45,Basic,14,34,20,115.25,3,Durable,High,Excellent,Medium,Medium,Medium
30319.63,1718,942,87003.62,1.68,Premium,24,22,158,355.15,1,Innovative,High,Average,Long,Low,Low
12713.42,4691,98,96003.99,2.29,Basic,5,14,69,95.38,1,Innovative,Low,Average,Short,Low,Low
26276.45,3783,79,63570.59,3.94,Basic,21,51,8,285.45,1,Durable,High,Excellent,Long,High,Low
2473.22,4579,566,15747.78,1.63,Standard,25,12,104,179.42,3,Durable,Low,Poor,Long,Low,Medium
15075.68,2199,479,51709.27,4.07,Basic,17,26,83,441.27,2,Durable,Medium,Excellent,Medium,Medium,Low
40012.05,1953,880,70509.53,1.15,Basic,16,61,144,131.76,2,Stylish,Very High,Poor,Medium,Very High,Low
36697.26,4653,505,73888.82,2.64,Basic,28,58,175,475.67,3,Durable,High,Average,Very Long,Very High,Medium
36289.79,3024,243,32035.16,2.09,Basic,21,58,198,392.83,3,Durable,High,Average,Long,Very High,Medium
12418.18,4126,989,61199.36,4.65,Standard,19,50,88,57.61,3,Durable,Low,Excellent,Long,High,Medium
37327.83,3605,899,12690.25,0.65,Standard,22,60,138,101.54,2,Stylish,High,Poor,Long,Very High,Low
35750.37,1973,195,39390.12,3.09,Premium,22,43,14,264.31,3,Stylish,High,Good,Long,High,Medium
708.5,1490,457,95524.74,0.95,Premium,17,50,76,413.96,1,Durable,Low,Poor,Medium,High,Low
15182.5,151,436,46094.93,3.76,Standard,32,18,9,164.64,1,Durable,Medium,Good,Very Long,Low,Low
48195.7,2535,383,66170.81,2.46,Basic,5,46,67,476.27,2,Innovative,Very High,Average,Short,High,Low
19323.13,1808,636,19084.76,0.89,Basic,31,38,14,432.61,2,Affordable,Medium,Poor,Very Long,Medium,Low
32598.7,3548,408,74590.64,2.67,Premium,1,66,4,291.94,1,Innovative,High,Average,Short,Very High,Low
14201.14,2644,258,22344.04,4.44,Standard,23,20,192,353.69,2,Stylish,Medium,Excellent,Long,Low,Low
10841.97,4791,363,67235.58,0.62,Premium,28,44,32,385.79,1,Durable,Low,Poor,Very Long,High,Low
43175.26,2507,126,88233.39,1.05,Basic,18,28,132,177.68,2,Durable,Very High,Poor,Medium,Medium,Low
22198.64,210,488,87645.36,4.38,Basic,14,63,48,147.88,4,Innovative,Medium,Excellent,Medium,Very High,High
21361.3,3254,595,31820.05,4.46,Basic,19,37,93,233.14,1,Durable,Medium,Excellent,Long,Medium,Low
48354.09,4503,700,24854.66,2.95,Standard,1,31,133,76.26,2,Innovative,Very High,Good,Short,Medium,Low
32079.9,148,444,31185.58,3.83,Premium,27,44,93,350.19,4,Innovative,High,Good,Long,High,High
48303.24,456,298,97847.95,1.04,Basic,7,29,102,255.71,4,Innovative,Very High,Poor,Short,Medium,High
17806.57,3832,880,53577.0,0.67,Premium,1,34,160,299.78,1,Durable,Medium,Poor,Short,Medium,Low
25948.47,3312,19,41942.1,1.0,Standard,13,45,176,237.86,3,Stylish,High,Poor,Medium,High,Medium
8399.23,621,143,82540.36,1.34,Premium,33,27,187,222.38,2,Durable,Low,Poor,Very Long,Medium,Low
14962.91,900,627,15186.42,2.98,Basic,13,17,123,273.58,4,Durable,Medium,Good,Medium,Low,High
10321.9,4547,881,23384.8,0.53,Basic,6,46,132,465.08,4,Durable,Low,Poor,Short,High,High
14892.2,3249,770,95950.46,4.36,Basic,20,41,26,102.68,2,Stylish,Medium,Excellent,Long,High,Low
22144.13,2488,613,40775.57,2.13,Standard,25,19,112,228.1,1,Affordable,Medium,Average,Long,Low,Low
800.57,1019,635,31529.11,1.38,Standard,34,31,114,325.19,3,Stylish,Low,Poor,Very Long,Medium,Medium
46252.02,392,305,1314.34,3.41,Basic,12,51,13,248.52,1,Innovative,Very High,Good,Medium,High,Low
3846.53,3686,804,40632.7,2.65,Premium,1,40,71,207.32,3,Stylish,Low,Average,Short,High,Medium
6275.7,3976,386,57426.9,2.59,Premium,12,36,159,492.68,4,Innovative,Low,Average,Medium,Medium,High
33689.08,933,498,6155.1,1.48,Premium,8,63,150,197.37,2,Stylish,High,Poor,Short,Very High,Low
49392.44,4301,579,61732.53,2.42,Basic,16,49,57,297.74,2,Innovative,Very High,Average,Medium,High,Low
32882.8,23,338,34099.04,0.57,Standard,33,35,123,369.67,2,Affordable,High,Poor,Very Long,Medium,Low
31213.66,624,342,90041.29,4.48,Premium,30,48,114,220.3,2,Innovative,High,Excellent,Very Long,High,Low
10463.64,303,324,96021.3,4.62,Basic,31,43,61,210.81,1,Innovative,Low,Excellent,Very Long,High,Low
27580.21,2491,443,8051.6,2.13,Basic,16,34,55,196.96,4,Innovative,High,Average,Medium,Medium,High
17621.01,2614,41,66631.05,3.39,Basic,25,52,162,369.98,1,Affordable,Medium,Good,Long,High,Low
1318.34,3779,42,5966.5,1.97,Standard,10,64,7,128.14,3,Stylish,Low,Average,Medium,Very High,Medium
37651.39,3243,222,1340.35,2.28,Basic,6,40,118,459.65,1,Innovative,High,Average,Short,High,Low
46256.67,3851,62,89759.93,1.17,Basic,19,62,164,293.95,1,Durable,Very High,Poor,Long,Very High,Low
